category	bookId	coverage	additional_coverage
GAMING	49055	92	7
GAMING	48456	91	6
SCI_FI	50757	91	6
CITY_LIFE	46980	91	6
CAREER	53528	91	6
FANTASY	48142	90	5
FANTASY	47120	90	5
HISTORY	42525	90	5
HISTORY	32907	90	5
GAMING	47130	90	5
GAMING	49081	90	5
SCI_FI	48166	90	5
SCI_FI	46999	90	5
SCI_FI	40074	90	5
FAN_FICTION	6578	90	5
FAN_FICTION	31220	90	5
FAN_FICTION	31474	90	5
CAREER	49991	90	5
FANTASY	50735	89	4
WUXIA	46957	89	4
WUXIA	46868	89	4
WUXIA	45552	89	4
WUXIA	46106	89	4
WUXIA	47135	89	4
WUXIA	45562	89	4
ROMANCE	44871	89	4
ROMANCE	43484	89	4
ROMANCE	49963	89	4
HISTORY	49996	89	4
HISTORY	30435	89	4
GAMING	50271	89	4
GAMING	50568	89	4
SCI_FI	51936	89	4
SCI_FI	47124	89	4
SUSPENSE	52068	89	4
SUSPENSE	43868	89	4
SUSPENSE	32406	89	4
FAN_FICTION	34026	89	4
FAN_FICTION	32657	89	4
FAN_FICTION	34134	89	4
CITY_LIFE	49986	89	4
CITY_LIFE	50268	89	4
CITY_LIFE	53170	89	4
CITY_LIFE	49985	89	4
CITY_LIFE	49987	89	4
CAREER	49951	89	4
CAREER	52087	89	4
CAREER	46867	89	4
YOUTH_LIFE	53099	89	4
YOUTH_LIFE	9904973	89	4
FANTASY	51900	88	3
FANTASY	47161	88	3
FANTASY	43616	88	3
FANTASY	52895	88	3
FANTASY	47680	88	3
WUXIA	48238	88	3
WUXIA	47093	88	3
WUXIA	50729	88	3
WUXIA	49485	88	3
ROMANCE	45426	88	3
ROMANCE	40534	88	3
ROMANCE	37684	88	3
ROMANCE	44256	88	3
HISTORY	47784	88	3
HISTORY	10061790	88	3
HISTORY	10061685	88	3
HISTORY	36760	88	3
HISTORY	28826	88	3
HISTORY	10062275	88	3
GAMING	42820	88	3
GAMING	45305	88	3
GAMING	52885	88	3
SCI_FI	43437	88	3
SCI_FI	44891	88	3
SUSPENSE	52069	88	3
SUSPENSE	50128	88	3
SUSPENSE	53452	88	3
SUSPENSE	47865	88	3
SUSPENSE	32612	88	3
SUSPENSE	53537	88	3
FAN_FICTION	31715	88	3
FAN_FICTION	10064400	88	3
CITY_LIFE	50738	88	3
CITY_LIFE	49118	88	3
CITY_LIFE	48207	88	3
CAREER	51887	88	3
CAREER	50286	88	3
CAREER	51029	88	3
CAREER	48491	88	3
CAREER	52090	88	3
YOUTH_LIFE	9999365	88	3
FANTASY	49079	87	2
FANTASY	44309	87	2
ROMANCE	42054	87	2
ROMANCE	45800	87	2
ROMANCE	34089	87	2
GAMING	50998	87	2
SCI_FI	46154	87	2
SCI_FI	42071	87	2
SUSPENSE	53068	87	2
FAN_FICTION	10069231	87	2
FAN_FICTION	10064351	87	2
CITY_LIFE	50266	87	2
YOUTH_LIFE	10022685	87	2
YOUTH_LIFE	9985910	87	2
YOUTH_LIFE	9994583	87	2
YOUTH_LIFE	9989562	87	2
YOUTH_LIFE	9994144	87	2
YOUTH_LIFE	10023258	87	2
YOUTH_LIFE	24840	86	1
