category	bookId	coverage	additional_coverage
SCI_FI	40074	90	5
CITY_LIFE	46980	90	5
FANTASY	48142	89	4
FANTASY	50735	89	4
FANTASY	47120	89	4
HISTORY	42525	89	4
HISTORY	32907	89	4
GAMING	48456	89	4
GAMING	49055	89	4
GAMING	47130	89	4
GAMING	50568	89	4
GAMING	49081	89	4
SCI_FI	50757	89	4
SCI_FI	46999	89	4
FAN_FICTION	34026	89	4
FAN_FICTION	6578	89	4
FAN_FICTION	31474	89	4
CITY_LIFE	53170	89	4
CAREER	49991	89	4
FANTASY	47161	88	3
FANTASY	52895	88	3
WUXIA	46957	88	3
WUXIA	46868	88	3
WUXIA	46106	88	3
WUXIA	47135	88	3
WUXIA	45562	88	3
ROMANCE	43484	88	3
ROMANCE	37684	88	3
HISTORY	49996	88	3
HISTORY	30435	88	3
HISTORY	10061685	88	3
HISTORY	36760	88	3
GAMING	50271	88	3
GAMING	42820	88	3
SCI_FI	51936	88	3
SCI_FI	48166	88	3
SCI_FI	47124	88	3
SCI_FI	43437	88	3
SCI_FI	44891	88	3
SUSPENSE	53452	88	3
SUSPENSE	52068	88	3
SUSPENSE	32612	88	3
SUSPENSE	43868	88	3
SUSPENSE	53537	88	3
SUSPENSE	32406	88	3
FAN_FICTION	32657	88	3
FAN_FICTION	31220	88	3
FAN_FICTION	34134	88	3
FAN_FICTION	31715	88	3
CITY_LIFE	49986	88	3
CITY_LIFE	50268	88	3
CITY_LIFE	49985	88	3
CITY_LIFE	48207	88	3
CITY_LIFE	49987	88	3
CAREER	51887	88	3
CAREER	52087	88	3
CAREER	53528	88	3
CAREER	51029	88	3
CAREER	48491	88	3
CAREER	46867	88	3
YOUTH_LIFE	9999365	88	3
FANTASY	49079	87	2
FANTASY	51900	87	2
FANTASY	43616	87	2
FANTASY	44309	87	2
FANTASY	47680	87	2
WUXIA	48238	87	2
WUXIA	45552	87	2
WUXIA	47093	87	2
WUXIA	50729	87	2
WUXIA	49485	87	2
ROMANCE	44871	87	2
ROMANCE	42054	87	2
ROMANCE	45426	87	2
ROMANCE	45800	87	2
ROMANCE	34089	87	2
ROMANCE	40534	87	2
ROMANCE	49963	87	2
ROMANCE	44256	87	2
HISTORY	47784	87	2
HISTORY	10061790	87	2
HISTORY	28826	87	2
HISTORY	10062275	87	2
GAMING	45305	87	2
GAMING	50998	87	2
GAMING	52885	87	2
SCI_FI	46154	87	2
SCI_FI	42071	87	2
SUSPENSE	52069	87	2
SUSPENSE	50128	87	2
SUSPENSE	53068	87	2
SUSPENSE	47865	87	2
FAN_FICTION	10069231	87	2
FAN_FICTION	10064400	87	2
FAN_FICTION	10064351	87	2
CITY_LIFE	50738	87	2
CITY_LIFE	50266	87	2
CITY_LIFE	49118	87	2
CAREER	49951	87	2
CAREER	50286	87	2
CAREER	52090	87	2
YOUTH_LIFE	10022685	87	2
YOUTH_LIFE	53099	87	2
YOUTH_LIFE	9985910	87	2
YOUTH_LIFE	9989562	87	2
YOUTH_LIFE	9994144	87	2
YOUTH_LIFE	10023258	87	2
YOUTH_LIFE	9904973	87	2
YOUTH_LIFE	24840	86	1
YOUTH_LIFE	9994583	86	1
SCI_FI	40074	90	5
CITY_LIFE	46980	90	5
FANTASY	48142	89	4
FANTASY	50735	89	4
FANTASY	47120	89	4
HISTORY	42525	89	4
HISTORY	32907	89	4
GAMING	48456	89	4
GAMING	49055	89	4
GAMING	47130	89	4
GAMING	50568	89	4
GAMING	49081	89	4
SCI_FI	50757	89	4
SCI_FI	46999	89	4
FAN_FICTION	34026	89	4
FAN_FICTION	6578	89	4
FAN_FICTION	31474	89	4
CITY_LIFE	53170	89	4
CAREER	49991	89	4
FANTASY	47161	88	3
FANTASY	52895	88	3
WUXIA	46957	88	3
WUXIA	46868	88	3
WUXIA	46106	88	3
WUXIA	47135	88	3
WUXIA	45562	88	3
ROMANCE	43484	88	3
ROMANCE	37684	88	3
HISTORY	49996	88	3
HISTORY	30435	88	3
HISTORY	10061685	88	3
HISTORY	36760	88	3
GAMING	50271	88	3
GAMING	42820	88	3
SCI_FI	51936	88	3
SCI_FI	48166	88	3
SCI_FI	47124	88	3
SCI_FI	43437	88	3
SCI_FI	44891	88	3
SUSPENSE	53452	88	3
SUSPENSE	52068	88	3
SUSPENSE	32612	88	3
SUSPENSE	43868	88	3
SUSPENSE	53537	88	3
SUSPENSE	32406	88	3
