category	bookId	coverage	additional_coverage
GAMING	49055	92	7
GAMING	48456	91	6
GAMING	50994	91	6
GAMING	53096	91	6
GAMING	48330	91	6
GAMING	51032	91	6
GAMING	48193	91	6
GAMING	53440	91	6
GAMING	47130	90	5
GAMING	49081	90	5
GAMING	46959	90	5
GAMING	42262	90	5
GAMING	36376	90	5
GAMING	43289	90	5
GAMING	45194	90	5
GAMING	47815	90	5
GAMING	48163	90	5
GAMING	36573	90	5
GAMING	50032	90	5
GAMING	52051	90	5
GAMING	44234	90	5
GAMING	50301	90	5
GAMING	46041	90	5
GAMING	54010	90	5
GAMING	38205	90	5
GAMING	40572	90	5
GAMING	9957154	90	5
GAMING	47832	90	5
GAMING	51090	90	5
GAMING	33210	90	5
GAMING	33165	90	5
GAMING	49003	90	5
GAMING	43366	90	5
GAMING	50271	89	4
GAMING	50568	89	4
GAMING	50746	89	4
GAMING	45086	89	4
GAMING	52050	89	4
GAMING	53519	89	4
GAMING	52049	89	4
GAMING	49656	89	4
GAMING	53520	89	4
GAMING	50733	89	4
GAMING	47825	89	4
GAMING	47010	89	4
GAMING	37059	89	4
GAMING	47169	89	4
GAMING	50748	89	4
GAMING	46974	89	4
GAMING	50043	89	4
GAMING	9957181	89	4
GAMING	53110	89	4
GAMING	29639	89	4
GAMING	48150	89	4
GAMING	53652	89	4
GAMING	50677	89	4
GAMING	42548	89	4
GAMING	9962332	89	4
GAMING	42561	89	4
GAMING	39167	89	4
GAMING	39148	89	4
GAMING	45312	89	4
GAMING	42820	88	3
GAMING	45305	88	3
GAMING	52885	88	3
GAMING	47146	88	3
GAMING	46883	88	3
GAMING	47833	88	3
GAMING	51884	88	3
GAMING	47000	88	3
GAMING	47817	88	3
GAMING	51044	88	3
GAMING	52053	88	3
GAMING	50995	88	3
GAMING	46102	88	3
GAMING	50317	88	3
GAMING	47822	88	3
GAMING	50823	88	3
GAMING	48259	88	3
GAMING	51970	88	3
GAMING	48308	88	3
GAMING	33171	88	3
GAMING	44198	88	3
GAMING	48362	88	3
GAMING	9970582	88	3
GAMING	9974414	88	3
GAMING	45324	88	3
GAMING	52047	88	3
GAMING	45317	88	3
GAMING	52889	88	3
GAMING	50998	87	2
GAMING	33152	87	2
GAMING	43256	87	2
GAMING	43355	87	2
GAMING	9957759	87	2
GAMING	9906179	87	2
GAMING	47821	87	2
GAMING	10064326	87	2
GAMING	10019605	87	2
GAMING	53521	87	2
