category	bookId	coverage	additional_coverage
GAMING	42262	90	5
GAMING	46041	90	5
GAMING	48456	89	4
GAMING	49055	89	4
GAMING	47130	89	4
GAMING	50568	89	4
GAMING	49081	89	4
GAMING	50994	89	4
GAMING	46959	89	4
GAMING	53096	89	4
GAMING	36376	89	4
GAMING	53520	89	4
GAMING	43289	89	4
GAMING	48163	89	4
GAMING	36573	89	4
GAMING	48193	89	4
GAMING	52051	89	4
GAMING	47010	89	4
GAMING	50748	89	4
GAMING	50301	89	4
GAMING	53440	89	4
GAMING	54010	89	4
GAMING	9957181	89	4
GAMING	38205	89	4
GAMING	40572	89	4
GAMING	9957154	89	4
GAMING	48150	89	4
GAMING	47832	89	4
GAMING	51090	89	4
GAMING	33165	89	4
GAMING	49003	89	4
GAMING	43366	89	4
GAMING	50271	88	3
GAMING	42820	88	3
GAMING	46883	88	3
GAMING	50746	88	3
GAMING	45086	88	3
GAMING	52050	88	3
GAMING	53519	88	3
GAMING	47833	88	3
GAMING	52049	88	3
GAMING	49656	88	3
GAMING	50733	88	3
GAMING	45194	88	3
GAMING	48330	88	3
GAMING	47815	88	3
GAMING	47825	88	3
GAMING	51044	88	3
GAMING	46102	88	3
GAMING	51032	88	3
GAMING	50032	88	3
GAMING	44234	88	3
GAMING	37059	88	3
GAMING	47169	88	3
GAMING	48308	88	3
GAMING	50043	88	3
GAMING	53110	88	3
GAMING	48362	88	3
GAMING	53652	88	3
GAMING	9974414	88	3
GAMING	50677	88	3
GAMING	33210	88	3
GAMING	42548	88	3
GAMING	9962332	88	3
GAMING	45317	88	3
GAMING	42561	88	3
GAMING	39167	88	3
GAMING	39148	88	3
GAMING	45312	88	3
GAMING	45305	87	2
GAMING	50998	87	2
GAMING	52885	87	2
GAMING	47146	87	2
GAMING	33152	87	2
GAMING	51884	87	2
GAMING	47000	87	2
GAMING	47817	87	2
GAMING	52053	87	2
GAMING	50995	87	2
GAMING	50317	87	2
GAMING	47822	87	2
GAMING	50823	87	2
GAMING	48259	87	2
GAMING	51970	87	2
GAMING	46974	87	2
GAMING	33171	87	2
GAMING	43355	87	2
GAMING	9957759	87	2
GAMING	44198	87	2
GAMING	9970582	87	2
GAMING	29639	87	2
GAMING	9906179	87	2
GAMING	10064326	87	2
GAMING	45324	87	2
GAMING	52047	87	2
GAMING	53521	87	2
GAMING	52889	87	2
GAMING	43256	86	1
GAMING	47821	86	1
GAMING	10019605	86	1
