category	bookId	coverage	additional_coverage	word_limit
SCI_FI	50757	76	7	100000
SCI_FI	46999	76	7	100000
SCI_FI	40074	76	7	100000
SCI_FI	47117	76	7	100000
SCI_FI	49856	76	7	100000
SCI_FI	50805	76	7	100000
SCI_FI	10019863	76	7	100000
SCI_FI	46014	76	7	100000
SCI_FI	53107	76	7	100000
SCI_FI	45672	76	7	100000
SCI_FI	32762	75	6	100000
SCI_FI	44511	75	6	100000
SCI_FI	44497	75	6	100000
SCI_FI	38832	75	6	100000
SCI_FI	43269	75	6	100000
SCI_FI	43305	75	6	100000
SCI_FI	37608	75	6	100000
SCI_FI	50125	75	6	100000
SCI_FI	48533	75	6	100000
SCI_FI	50296	75	6	100000
SCI_FI	27988	75	6	100000
SCI_FI	36762	75	6	100000
SCI_FI	51936	74	5	100000
SCI_FI	48166	74	5	100000
SCI_FI	47124	74	5	100000
SCI_FI	36457	74	5	100000
SCI_FI	32786	74	5	100000
SCI_FI	37291	74	5	100000
SCI_FI	44503	74	5	100000
SCI_FI	46642	74	5	100000
SCI_FI	46903	74	5	100000
SCI_FI	51054	74	5	100000
SCI_FI	48256	74	5	100000
SCI_FI	49093	74	5	100000
SCI_FI	46989	74	5	100000
SCI_FI	53039	74	5	100000
SCI_FI	48922	74	5	100000
SCI_FI	53525	74	5	100000
SCI_FI	35960	74	5	100000
SCI_FI	53526	74	5	100000
SCI_FI	47060	74	5	100000
SCI_FI	9957186	74	5	100000
SCI_FI	10020134	74	5	100000
SCI_FI	47550	74	5	100000
SCI_FI	50719	74	5	100000
SCI_FI	44811	74	5	100000
SCI_FI	9957076	74	5	100000
SCI_FI	48819	74	5	100000
SCI_FI	50576	74	5	100000
SCI_FI	49727	74	5	100000
SCI_FI	42071	73	4	100000
SCI_FI	43437	73	4	100000
SCI_FI	44891	73	4	100000
SCI_FI	33432	73	4	100000
SCI_FI	46010	73	4	100000
SCI_FI	43090	73	4	100000
SCI_FI	43731	73	4	100000
SCI_FI	46122	73	4	100000
SCI_FI	40315	73	4	100000
SCI_FI	46376	73	4	100000
SCI_FI	43960	73	4	100000
SCI_FI	42715	73	4	100000
SCI_FI	50679	73	4	100000
SCI_FI	45347	73	4	100000
SCI_FI	9920561	73	4	100000
SCI_FI	46997	73	4	100000
SCI_FI	9978503	73	4	100000
SCI_FI	48418	73	4	100000
SCI_FI	46360	73	4	100000
SCI_FI	29581	73	4	100000
SCI_FI	10019860	73	4	100000
SCI_FI	45329	73	4	100000
SCI_FI	52065	73	4	100000
SCI_FI	46093	73	4	100000
SCI_FI	50678	73	4	100000
SCI_FI	46018	72	3	100000
SCI_FI	50984	72	3	100000
SCI_FI	29023	72	3	100000
SCI_FI	29025	72	3	100000
SCI_FI	10368	72	3	100000
SCI_FI	9911029	72	3	100000
SCI_FI	48837	72	3	100000
SCI_FI	53097	72	3	100000
SCI_FI	9957243	72	3	100000
SCI_FI	29833	72	3	100000
SCI_FI	52136	72	3	100000
SCI_FI	46546	72	3	100000
SCI_FI	53667	72	3	100000
SCI_FI	9957037	72	3	100000
SCI_FI	46154	71	2	100000
SCI_FI	43523	71	2	100000
SCI_FI	37191	71	2	100000
SCI_FI	26535	71	2	100000
SCI_FI	28440	71	2	100000
SCI_FI	44551	71	2	100000
SCI_FI	49233	71	2	100000
SCI_FI	29673	71	2	100000
SCI_FI	9957052	71	2	100000
SCI_FI	35764	70	1	100000
SCI_FI	29658	70	1	100000
