category	bookId	coverage	additional_coverage	word_limit
WUXIA	53046	77	8	100000
WUXIA	46957	76	7	100000
WUXIA	38012	76	7	100000
WUXIA	46106	75	6	100000
WUXIA	37770	75	6	100000
WUXIA	49109	75	6	100000
WUXIA	47132	75	6	100000
WUXIA	44228	75	6	100000
WUXIA	46887	75	6	100000
WUXIA	49884	75	6	100000
WUXIA	49044	75	6	100000
WUXIA	46868	74	5	100000
WUXIA	48238	74	5	100000
WUXIA	47093	74	5	100000
WUXIA	47135	74	5	100000
WUXIA	50729	74	5	100000
WUXIA	45562	74	5	100000
WUXIA	40664	74	5	100000
WUXIA	49063	74	5	100000
WUXIA	46924	74	5	100000
WUXIA	43970	74	5	100000
WUXIA	37690	74	5	100000
WUXIA	44507	74	5	100000
WUXIA	52031	74	5	100000
WUXIA	45183	74	5	100000
WUXIA	48273	74	5	100000
WUXIA	50818	74	5	100000
WUXIA	49988	74	5	100000
WUXIA	46542	74	5	100000
WUXIA	48164	74	5	100000
WUXIA	45581	74	5	100000
WUXIA	53453	74	5	100000
WUXIA	46535	74	5	100000
WUXIA	49288	74	5	100000
WUXIA	53059	74	5	100000
WUXIA	47952	74	5	100000
WUXIA	45750	74	5	100000
WUXIA	49888	74	5	100000
WUXIA	46699	74	5	100000
WUXIA	46884	74	5	100000
WUXIA	49011	74	5	100000
WUXIA	50982	74	5	100000
WUXIA	40175	74	5	100000
WUXIA	50045	74	5	100000
WUXIA	52917	74	5	100000
WUXIA	48347	74	5	100000
WUXIA	49096	74	5	100000
WUXIA	53492	74	5	100000
WUXIA	48270	74	5	100000
WUXIA	36648	74	5	100000
WUXIA	53377	74	5	100000
WUXIA	47126	74	5	100000
WUXIA	52270	74	5	100000
WUXIA	45552	73	4	100000
WUXIA	49485	73	4	100000
WUXIA	42053	73	4	100000
WUXIA	53063	73	4	100000
WUXIA	44519	73	4	100000
WUXIA	40620	73	4	100000
WUXIA	48208	73	4	100000
WUXIA	36421	73	4	100000
WUXIA	40699	73	4	100000
WUXIA	49433	73	4	100000
WUXIA	48234	73	4	100000
WUXIA	50904	73	4	100000
WUXIA	45553	73	4	100000
WUXIA	49984	73	4	100000
WUXIA	50830	73	4	100000
WUXIA	53486	73	4	100000
WUXIA	49431	73	4	100000
WUXIA	46694	73	4	100000
WUXIA	9957091	73	4	100000
WUXIA	49126	73	4	100000
WUXIA	50004	73	4	100000
WUXIA	52286	73	4	100000
WUXIA	46918	73	4	100000
WUXIA	52474	73	4	100000
WUXIA	48526	73	4	100000
WUXIA	43871	73	4	100000
WUXIA	52275	73	4	100000
WUXIA	52915	73	4	100000
WUXIA	46734	73	4	100000
WUXIA	53544	73	4	100000
WUXIA	48425	73	4	100000
WUXIA	51009	73	4	100000
WUXIA	48670	73	4	100000
WUXIA	50967	73	4	100000
WUXIA	38945	73	4	100000
WUXIA	39669	73	4	100000
WUXIA	50579	73	4	100000
WUXIA	46577	73	4	100000
WUXIA	43466	72	3	100000
WUXIA	50558	72	3	100000
WUXIA	46635	72	3	100000
WUXIA	48503	72	3	100000
WUXIA	46701	72	3	100000
WUXIA	49983	72	3	100000
WUXIA	49886	72	3	100000
WUXIA	48498	72	3	100000
WUXIA	50855	71	2	100000
